id,created,modified,name,description,source_id,icon,season_number,disc_number,credit_id,embed_id
15,2010-01-20 03:14:03+00,2020-03-29 02:15:11.79069+00,The Deal,"Jerry and Elaine are contemplating having sex.  “We can have this...or we can have that."" But clearly, they can't have them both, though they try.  Later, in the coffee shop, George chastises Jerry for trying to have them both. ",1,uploads/clip-icons/deal_clip1.jpg,2,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=64JcvnT0B"" frameborder=""0"" allowfullscreen></iframe>"
77,2010-01-24 06:24:58+00,2020-03-29 02:42:43.491123+00,The Invitations,"George is anxious to get out of his impending marriage to Susan.  Kramer suggests that he ask for a prenuptial agreement, knowing it will signal Susan that George isn't committed to the idea of marriage and pushing her to back out.  But in order for George's action to be credible, going without a prenup must cost him something.  Susan knows this and willingly signs, saying, “Prenup?  I make more money than you do!  Sure, I'll sign!”  ",1,uploads/clip-icons/invitations.jpg,7,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=AAdDjyMI5"" frameborder=""0"" allowfullscreen></iframe>"
8,2010-01-19 06:38:46+00,2020-03-29 02:44:13.955762+00,The Jacket,"Jerry springs for a very expensive suede jacket.  Everyone asks what it costs, and gasps when the price is revealed.",1,uploads/clip-icons/jacket.jpg,2,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=cp6iZmBMZ"" frameborder=""0"" allowfullscreen></iframe>"
62,2010-01-24 05:28:03+00,2020-03-29 02:36:16.821919+00,The Fusilli Jerry,"Elaine's new boyfriend, Jerry's mechanic David, has stolen a bedroom move from Jerry.  Jerry wants him to stop using it, but Elaine wants to continue to enjoy it.  In the end, Jerry ends up “selling” the property right for a cheaper bill for car repair. ",1,uploads/clip-icons/fusilli_jerry_clip1.jpg,6,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=s7aGktTOV"" frameborder=""0"" allowfullscreen></iframe>"
63,2010-01-24 05:30:22+00,2020-03-29 02:37:24.415727+00,The Fusilli Jerry,"Jerry's car is broken and he takes it to a new mechanic.  The new mechanic gives an estimate that Jerry believes is too high.  George says, “Of course they're trying to screw you—that's what they do.  It's because you don't know anything about what's going on under there!” George also says that Putty, Jerry's regular mechanic, wouldn't try to screw him.  Reputation for honesty can overcome moral hazard problems. ",1,uploads/clip-icons/fusilli_jerry_clip2.jpg,6,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=I4GRNwsxC"" frameborder=""0"" allowfullscreen></iframe>"
42,2010-01-24 03:54:16+00,2020-03-29 02:39:39.670512+00,The Glasses,"Jerry is getting a new air conditioning unit.  Elaine asks why, because he's never wanted air conditioning before.  But Jerry's new girlfriend feels more comfortable in with air conditioning, so Jerry is getting one—his demand has increased.  ",1,uploads/clip-icons/glasses.jpg,5,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=26n9FlEfV"" frameborder=""0"" allowfullscreen></iframe>"
26,2010-01-20 04:09:36+00,2020-03-29 02:40:46.475654+00,The Good Samaritan,Mary Hart's voice causes Kramer to go into seizures.,1,uploads/clip-icons/good_samaritan.jpg,3,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=NLtrouJeh"" frameborder=""0"" allowfullscreen></iframe>"
53,2010-01-24 04:34:14+00,2020-03-29 02:41:31.037762+00,The Hamptons,"Kramer, at the beach in the Hamptons with friends, finds a rope dangling into the water and pulls up a pot full of lobsters.  He serves them for dinner that night, and his host says that he's poached them from a commercial lobsterman.  Kramer says, “What's the problem? There's plenty for everyone.”  This highlights the wedge between individual incentives and optimal social outcomes. ",1,uploads/clip-icons/hamptons.jpg,5,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=KHcX6Ey6I"" frameborder=""0"" allowfullscreen></iframe>"
50,2010-01-24 04:26:04+00,2020-03-29 02:58:05.390729+00,The Marine Biologist,"Kramer gives Elaine a new electronic organizer, which through a series of unfortunate events, gets lost.  She goes to Kramer bemoaning the fact that she had put everything in the organizer, and had thrown away her paper organizer.  If she hadn't put all of her eggs in one basket (her events in one organizer), she could have reduced her exposure to risk.",1,uploads/clip-icons/marine_biologist_clip3.jpg,5,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=eGaNnXoFS"" frameborder=""0"" allowfullscreen></iframe>"
82,2010-01-25 00:05:37+00,2020-03-29 02:49:14.622156+00,The Little Jerry,Jerry bounces a check at the local bodega and offers to pay to get the bodega's owner to take it down off the wall.,1,uploads/clip-icons/litle_jerry.jpg,8,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=fnJF5IIav"" frameborder=""0"" allowfullscreen></iframe>"
4,2010-01-19 06:30:25+00,2020-03-29 03:23:50.510955+00,The Robbery,Jerry and George play odds-evens for a nice apartment.,1,uploads/clip-icons/robbery2.jpg,1,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=mIT3lAp5x"" frameborder=""0"" allowfullscreen></iframe>"
48,2010-01-24 04:19:38+00,2020-03-29 02:57:08.992487+00,The Marine Biologist,"Jerry is showing Elaine a T-shirt he's had for six years that he calls “Golden Boy.”  It's his go-to shirt, it's always first out of the dryer, and it he wears it for playing every game.  Yet Golden Boy is wearing out and fraying at the collar.  Elaine responds that she has to go meet a famous author, and Jerry replies “You want to wear Golden Boy?” (making the t-shirt look more like a tool than a consumer good).  At the end of the show, Golden Boy is gone, having died in the dryer.  But Jerry replaced his capital with a new shirt, “Baby Blue.” ",1,uploads/clip-icons/marine_biologist_clip1.jpg,5,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=eDD6FqE0s"" frameborder=""0"" allowfullscreen></iframe>"
27,2010-01-20 04:12:14+00,2020-03-29 02:45:39.265429+00,The Keys,"Becoming annoyed at Kramer's invasions of privacy, Jerry takes away his spare key. Kramer tells George about how everything was so good at Jerry's.  He gives George the “I yearn” speech, illustrating that human tendency is desire, and that desire is inescapable.  ",1,uploads/clip-icons/keys.jpg,3,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=uGZSrSnTv"" frameborder=""0"" allowfullscreen></iframe>"
61,2010-01-24 05:23:21+00,2020-03-29 02:46:56.093531+00,The Kiss Hello,"Fifty-three years ago, Jerry's Uncle Leo stiffed Jerry's mother out of $50.  Eager to get it back, Jerry's father says, “Do you know what that's worth today in interest alone? $663.45, figured at a conservative 5% interest, compounded quarterly.”  Morty's calculations are almost accurate, though he does not compound quarterly, and his sum includes the principle, not just the interest. ",1,uploads/clip-icons/kiss_hello.jpg,6,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=ZKC8mxA8d"" frameborder=""0"" allowfullscreen></iframe>"
66,2010-01-24 05:44:00+00,2020-03-29 02:50:09.98757+00,The Maestro,"Kramer has sneaked coffee into a theater, where he spills it on himself.  While consulting with his lawyer, Jackie Chiles, they discuss the theater's monopoly on concessions. (This is a great place to discuss David Friedman's and Steven Landsburg's take on why movie theater popcorn is so expensive.) ",1,uploads/clip-icons/maestro.jpg,7,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=zBZECEAhh"" frameborder=""0"" allowfullscreen></iframe>"
37,2010-01-24 03:39:44+00,2020-03-29 02:51:43.865325+00,The Mango,"Opening comedy clip talks about how some scientists are busy curing cancer, but others have seen fit to develop the seedless watermelon.  Jerry sarcastically refers to the tremendous benefit conferred on consumers because of this.  So why do some scientists do things like this?  Because it's what consumers want!",1,uploads/clip-icons/mango.jpg,5,1,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=rV5uDhOkZ"" frameborder=""0"" allowfullscreen></iframe>"
49,2010-01-24 04:22:48+00,2020-03-29 02:56:59.152207+00,The Marine Biologist,"Kramer gives Elaine an organizer that he got at the bank when he opened a new account;  Jerry proudly shows off a tape recorder that he got at a different bank.  In the days before bank deregulation, interest rates were administered:  0% on checking accounts, 5.25% on savings accounts.  With market interest rates higher than these, there was no way for banks to compete for funds except to offer additional perks like toasters, tape recorders, and organizers. ",1,uploads/clip-icons/marine_biologist_clip2.jpg,5,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=9EeJbrZ2r"" frameborder=""0"" allowfullscreen></iframe>"
46,2010-01-24 04:11:49+00,2020-03-29 03:01:57.202927+00,The Non-Fat Yogurt,"Kramer has invested in a fat-free yogurt shop, but Jerry and Elaine begin to gain weight after indulging in it.  ",1,uploads/clip-icons/nonfat_yogurt.jpg,5,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=XCqudrGQc"" frameborder=""0"" allowfullscreen></iframe>"
22,2010-01-20 03:36:36+00,2020-03-29 03:03:23.844103+00,The Nose Job,"Jerry fights an inner war over a woman he hates, but who gives him great sex.  In an attempt to break himself of her, Jerry has Kramer tear up her phone number. ",1,uploads/clip-icons/nose_job.jpg,3,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=mbWVWuy0F"" frameborder=""0"" allowfullscreen></iframe>"
18,2010-01-20 03:24:06+00,2020-03-29 03:04:09.931738+00,The Note,"George gets a massage from a man and feels “it” move.  Jerry asks him whether it was a “movement” of a “shift,” as these are different.  This scene can be compared to movements along versus shifts in demand and supply curves.",1,uploads/clip-icons/note.jpg,3,1,3,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=NE6wgzJCy"" frameborder=""0"" allowfullscreen></iframe>"
35,2010-01-24 03:32:18+00,2020-03-29 03:05:04.871577+00,The Old Man,"Kramer and Newman try to sell used records to a dealer who is buying them.  He offers what they believe to be an insulting offer.  This shows that value is determined by both scarcity and desire;  without demand, even a rare commodity has no value. ",1,uploads/clip-icons/old_man.jpg,4,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=FoELk2Drm"" frameborder=""0"" allowfullscreen></iframe>"
86,2010-01-25 00:21:57+00,2020-03-29 03:00:06.204293+00,The Muffin Tops,"Elaine and her old boss find that selling just the tops of muffins is more profitable than selling the whole muffin (which consists of the top + the stump).  So are the top and the stump complements or substitutes?  Neither--the stumps are an economic bad, which reduce utility.  Evidence for this is found in the fact that homeless people won't eat the stumps that the muffin-top restaurant throws away, unless they come with the tops as compensation. ",1,uploads/clip-icons/muffin_tops_clip1__.jpg,8,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=eGaNnXoFS"" frameborder=""0"" allowfullscreen></iframe>"
85,2010-01-25 00:19:06+00,2020-03-29 03:00:42.493435+00,The Muffin Tops,"Elaine comes up with the idea of selling only the top parts of muffins;  within days her old boss has opened a muffin-top store, capitalizing on her idea.  Elaine needs protection for her idea, which is the role of the patent/trademark system.",1,uploads/clip-icons/muffin_tops_clip2__.jpg,8,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=z9lt7hyZy"" frameborder=""0"" allowfullscreen></iframe>"
33,2010-01-24 03:26:12+00,2020-03-29 03:05:57.431899+00,The Opera,George and Kramer try to scalp opera tickets.  George succeeds.,1,uploads/clip-icons/opera.jpg,4,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=FoELk2Drm"" frameborder=""0"" allowfullscreen></iframe>"
92,2010-01-25 00:39:51+00,2020-03-29 03:12:15.303772+00,The Pez Dispenser/The Pick (Part II),"Kramer invents ""The Beach"" cologne.  Jerry tells him to run it by a guy in marketing at Calvin Klein, and Kramer does. The guy scoffs at the idea, but CK begins producing a cologne called ""The Ocean."" Without a patent, Kramer is powerless to seek recourse, but the folks at CK offer him a modeling contract, essentially in exchange for his silence. (This story line crosses two episodes. The Season, Disc, and Time information below is for ""The Pick"" section. See Part I for the Season, Disc and Time information for ""The Pez Dispenser."") THE VIDEO CLIP CONTAINS BOTH PARTS.",1,uploads/clip-icons/pez_dispenser_pick_.jpg,4,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=uoOPb2LGZ"" frameborder=""0"" allowfullscreen></iframe>"
54,2010-01-24 04:39:38+00,2020-03-29 03:06:58.953089+00,The Opposite,"Elaine is to meet her boyfriend at the theater.  She gets a message at the ticket booth that he's been in an accident.  Before leaving to see him at the hospital, she stops for popcorn and Jujubes, reasoning that she can't change the past so she might as well maximize at the margin.  ",1,uploads/clip-icons/opposite.jpg,5,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=uvexhMYOZ"" frameborder=""0"" allowfullscreen></iframe>"
19,2010-01-20 03:27:06+00,2020-03-29 03:09:38.914965+00,The Parking Garage,"George tells a story about how when his father bought a car, he went on a multi-state excursion to find the best deal.",1,uploads/clip-icons/parking_garage.jpg,3,2,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=lz6WlJc0q"" frameborder=""0"" allowfullscreen></iframe>"
38,2010-01-24 03:42:53+00,2020-03-29 03:10:16.398672+00,The Parking Space,"George won't pay for a parking spot in a garage because he would rather find a public spot (nonexcludable) for free.  George backs into a spot while another guy comes in headfirst, resulting in the question, “Who is entitled to the space?”  Insecure property rights have led to overuse and conflict.  George says, “I was here first.”   The parking jam-up ruins street access for everyone else; everyone ends up fighting about property rights, even the police, who can't decide.  ",1,uploads/clip-icons/parking_space.jpg,3,4,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=5boxtp0v3"" frameborder=""0"" allowfullscreen></iframe>"
25,2010-01-20 04:06:41+00,2020-03-29 03:11:03.931538+00,The Pez Dispenser,"George is dating a pianist.  He needs “hand,” as she is clearly the alpha member of the pair.  Kramer suggests a preemptive breakup.  George analyzes—if she accepts the breakup, there's no loss, as she was going to break up with him anyway.  If she rejects the breakup, he will have established himself as the alpha member.  Therefore, the preemptive breakup is a dominant strategy.  It works; he gets a high payoff. ",1,uploads/clip-icons/pez_dispenser_clip1.jpg,3,3,,"<iframe width=""560"" height=""315"" src=""https://criticalcommons.org/embed?m=Vjz6TjYtB"" frameborder=""0"" allowfullscreen></iframe>"
